"","Código","Nome","Latitude","Longitude"
"","420540703A","Areias Campeche","-27.706","-48.5"
"","420540702A","Coqueiros","-27.599","-48.573"
"","420520901A","São Sebastião","-27.278192","-51.440086"
"","420500101A","Prefeitura Municipal","-26.26219","-53.63747"
"","420480601A","Cotia B1","-27.30408","-50.56729"
"","420460805A","Quarta Linha","-28.77301","-49.36763"
"","420460804A","Sangão","-28.73562","-49.40503"
"","420460803A","Vila Francesa","-28.67498","-49.41612"
"","420460802A","Imigrantes","-28.67737","-49.32561"
"","420455802A","São Pedro","-27.580594","-50.358817"
"","420450903A","João Tozini","-26.43862","-49.22865"
"","420450902A","Horto Florestal","-26.43","-49.259"
"","420450901A","Rua Ano Bom","-26.411","-49.235"
"","420430104A","Parque de Exposição","-27.2261","-52.0004"
"","420430103A","Edifício das Crianças","-27.23612","-52.02296"
"","420430102A","Santa Cruz","-27.2235","-52.03517"
"","420430101A","Salete","-27.2164","-52.0149"
"","420420202A","Vila Real","-27.06972","-52.60851"
"","420420201A","Prefeitura Municipal","-27.11325","-52.61169"
"","420419401A","Centro","-27.58463","-49.54288"
